seed,block,offset,relx,obs,tree,direct,count
4,4,3,0.05709474504623,j3l2,35.468427041832,35.266138309025,15000
4,4,6,0.11709474504623,j2l4,-27.668873879327,-22.692881613682,15000
4,4,6,0.11709474504623,j3l2,27.295364799288,30.435144874867,15000
4,5,-6,-0.11948477161005,j2l4,-16612.76109121,-16987.980497242,15000
4,5,-6,-0.11948477161005,j3l2,-57058.962003941,-57799.543334526,15000
4,5,-3,-0.059484771610049,j2l4,-235.80284384404,-211.77725203557,15000
4,5,-3,-0.059484771610049,j3l2,-794.95560940237,-782.84896263759,15000
4,5,0,0.0005152283899512,j2l4,-87.501505720715,-87.31157543705,15000
4,5,0,0.0005152283899512,j3l2,120.35575156371,123.7464620752,15000
4,5,3,0.060515228389951,j2l4,-51.73735475659,-52.274449892683,15000
4,5,3,0.060515228389951,j3l2,12.050670198859,15.168978806569,15000
4,5,6,0.12051522838995,j2l4,-8.8437941780903,-33.809391961874,15000
4,5,6,0.12051522838995,j3l2,0.96855234922492,-7.9089714821844,15000
4,6,-6,-0.12124265585694,j2l4,-21326.327171717,-21734.05104039,15000
4,6,-6,-0.12124265585694,j3l2,-34645.086923671,-35028.899312033,15000
4,6,-3,-0.061242655856942,j2l4,-489.27022202817,-485.68351985024,15000
4,6,-3,-0.061242655856942,j3l2,-204.46495279894,-185.55372000929,15000
4,6,0,-0.0012426558569416,j2l4,-81.738033227757,-87.863015018568,15000
4,6,0,-0.0012426558569416,j3l2,120.19570459576,119.32459857389,15000
4,6,3,0.058757344143058,j2l4,-36.353077735943,-39.865892744734,15000
4,6,3,0.058757344143058,j3l2,-23.188091720818,-29.807609413523,15000
4,6,6,0.11875734414306,j2l4,69.326817314954,60.825195800949,15000
4,6,6,0.11875734414306,j3l2,-2.9210257288269,-6.4298397633946,15000
4,7,-6,-0.12375581718641,j2l4,-8774.0606166009,-8759.2120591979,15000
4,7,-6,-0.12375581718641,j3l2,-18974.511317341,-18867.02377829,15000
4,7,-3,-0.063755817186415,j2l4,-104.40269500091,-8.346892557991,15000
4,7,-3,-0.063755817186415,j3l2,-405.51897415931,-353.86097758174,15000
4,7,0,-0.0037558171864147,j2l4,-90.834681651723,-90.993575727413,15000
4,7,0,-0.0037558171864147,j3l2,108.11132609456,107.62824602106,15000
4,7,3,0.056244182813585,j2l4,-61.187848832229,-64.168414232103,15000
4,7,3,0.056244182813585,j3l2,27.279267954699,27.533076554257,15000
4,7,6,0.11624418281359,j2l4,-13.003217934928,-17.825660641688,15000
4,7,6,0.11624418281359,j3l2,29.407036559834,21.298979902343,15000
4,8,-6,-0.12257054815917,j2l4,-15182.962595789,-15275.769900718,15000
4,8,-6,-0.12257054815917,j3l2,-21942.787902708,-21570.166255681,15000
4,8,-3,-0.062570548159166,j2l4,-101.94801244773,-96.095054481933,15000
4,8,-3,-0.062570548159166,j3l2,-101.43089515152,-107.23958669944,15000
4,8,0,-0.0025705481591665,j2l4,-55.47941529058,-39.979825739286,15000
4,8,0,-0.0025705481591665,j3l2,159.54423610416,166.63021460592,15000
4,8,3,0.057429451840834,j2l4,-8.8589635136592,-2.2385994929877,15000
4,8,3,0.057429451840834,j3l2,25.026060949558,28.078652895662,15000
4,8,6,0.11742945184083,j2l4,-16.459713586422,-14.948124285461,15000
4,8,6,0.11742945184083,j3l2,-14.287152575184,-17.093725919374,15000
